description,industry,level,size,line_code,value,status,Unit,Footnotes
Reason to innovate - increase market share: no,Retail trade,1,total,B1605.02,639,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - increase market share: no,Accommodation & food services,1,total,B1605.02,513,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - increase market share: no,"Transport, postal, & warehousing",1,total,B1605.02,480,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - increase market share: no,Information media & telecommunications,1,total,B1605.02,60,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - increase market share: no,Publishing,2,total,B1605.02,12,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - increase market share: no,Motion picture,2,total,B1605.02,21,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - increase market share: no,Telecommunications,2,total,B1605.02,24,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - increase market share: no,Financial & insurance services,1,total,B1605.02,159,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - increase market share: no,Finance,2,total,B1605.02,54,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - increase market share: no,Insurance,2,total,B1605.02,9,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - increase market share: no,Auxiliary,2,total,B1605.02,99,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - increase market share: no,"Rental, hiring, & real estate services",1,total,B1605.02,174,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - increase market share: no,"Professional, scientific, & technical services",1,total,B1605.02,1362,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - increase market share: no,Computer systems design,2,total,B1605.02,174,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - increase market share: no,Other professional scientific,2,total,B1605.02,1188,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - increase market share: no,Administrative & support services,1,total,B1605.02,453,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - increase market share: no,Education & training,1,total,B1605.02,309,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - increase market share: no,Health care & social assistance,1,total,B1605.02,1011,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - increase market share: no,Arts & recreation services,1,total,B1605.02,162,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - increase market share: no,Other services,1,total,B1605.02,348,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - increase market share: no,total,0,total,B1605.02,10458,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - increase market share: don't know,total,0,6–19 employees,B1605.03,1179,,Number of businesses,1 and 2 and 3 and 4 and 6
Reason to innovate - increase market share: don't know,total,0,20–49 employees,B1605.03,315,,Number of businesses,1 and 2 and 3 and 4 and 6
Reason to innovate - increase market share: don't know,total,0,50–99 employees,B1605.03,96,,Number of businesses,1 and 2 and 3 and 4 and 6
Reason to innovate - increase market share: don't know,total,0,100+ employees,B1605.03,96,,Number of businesses,1 and 2 and 3 and 4 and 6
Reason to innovate - increase market share: don't know,"Agriculture, forestry, & fishing",1,total,B1605.03,54,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - increase market share: don't know,Agriculture,2,total,B1605.03,39,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - increase market share: don't know,Commercial fishing,2,total,B1605.03,3,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - increase market share: don't know,Forestry & logging,2,total,B1605.03,9,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - increase market share: don't know,"Agriculture, forestry, & fishing support services",2,total,B1605.03,3,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - increase market share: don't know,Mining,1,total,B1605.03,3,,Number of businesses,1 and 2 and 3 and 5 and 6
Reason to innovate - increase market share: don't know,Manufacturing,1,total,B1605.03,174,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - increase market share: don't know,"Food, beverage, & tobacco",2,total,B1605.03,57,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - increase market share: don't know,"Textile, clothing, footwear, & leather",2,total,B1605.03,15,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - increase market share: don't know,Wood & paper product,2,total,B1605.03,9,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - increase market share: don't know,"Printing, publishing, & recorded media",2,total,B1605.03,0,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - increase market share: don't know,"Petroleum, coal, chemical, & associated product",2,total,B1605.03,18,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - increase market share: don't know,Non-metallic mineral product,2,total,B1605.03,9,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - increase market share: don't know,Metal product,2,total,B1605.03,30,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - increase market share: don't know,Transport and industrial machinery & equipment,2,total,B1605.03,18,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - increase market share: don't know,Other machinery & equipment,2,total,B1605.03,6,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - increase market share: don't know,Other manufacturing,2,total,B1605.03,9,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - increase market share: don't know,"Electricity, gas, water, & waste services",1,total,B1605.03,9,,Number of businesses,1 and 2 and 3 and 5 and 6
Reason to innovate - increase market share: don't know,Construction,1,total,B1605.03,411,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - increase market share: don't know,Wholesale trade,1,total,B1605.03,45,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - increase market share: don't know,Machinery & equipment wholesaling,2,total,B1605.03,9,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - increase market share: don't know,Other wholesale trade,2,total,B1605.03,36,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - increase market share: don't know,Retail trade,1,total,B1605.03,126,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - increase market share: don't know,Accommodation & food services,1,total,B1605.03,384,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - increase market share: don't know,"Transport, postal, & warehousing",1,total,B1605.03,15,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - increase market share: don't know,Information media & telecommunications,1,total,B1605.03,12,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - increase market share: don't know,Publishing,2,total,B1605.03,3,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - increase market share: don't know,Motion picture,2,total,B1605.03,6,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - increase market share: don't know,Telecommunications,2,total,B1605.03,0,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - increase market share: don't know,Financial & insurance services,1,total,B1605.03,15,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - increase market share: don't know,Finance,2,total,B1605.03,6,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - increase market share: don't know,Insurance,2,total,B1605.03,0,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - increase market share: don't know,Auxiliary,2,total,B1605.03,9,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - increase market share: don't know,"Rental, hiring, & real estate services",1,total,B1605.03,54,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - increase market share: don't know,"Professional, scientific, & technical services",1,total,B1605.03,135,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - increase market share: don't know,Computer systems design,2,total,B1605.03,24,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - increase market share: don't know,Other professional scientific,2,total,B1605.03,114,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - increase market share: don't know,Administrative & support services,1,total,B1605.03,60,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - increase market share: don't know,Education & training,1,total,B1605.03,48,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - increase market share: don't know,Health care & social assistance,1,total,B1605.03,81,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - increase market share: don't know,Arts & recreation services,1,total,B1605.03,33,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - increase market share: don't know,Other services,1,total,B1605.03,21,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - increase market share: don't know,total,0,total,B1605.03,1683,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: yes,total,0,6–19 employees,B1606.01,8871,,Number of businesses,1 and 2 and 3 and 4 and 6
Reason to innovate - establish market opportunities: yes,total,0,20–49 employees,B1606.01,2613,,Number of businesses,1 and 2 and 3 and 4 and 6
Reason to innovate - establish market opportunities: yes,total,0,50–99 employees,B1606.01,837,,Number of businesses,1 and 2 and 3 and 4 and 6
Reason to innovate - establish market opportunities: yes,total,0,100+ employees,B1606.01,774,,Number of businesses,1 and 2 and 3 and 4 and 6
Reason to innovate - establish market opportunities: yes,"Agriculture, forestry, & fishing",1,total,B1606.01,465,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: yes,Agriculture,2,total,B1606.01,312,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: yes,Commercial fishing,2,total,B1606.01,12,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: yes,Forestry & logging,2,total,B1606.01,30,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: yes,"Agriculture, forestry, & fishing support services",2,total,B1606.01,111,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: yes,Mining,1,total,B1606.01,30,,Number of businesses,1 and 2 and 3 and 5 and 6
Reason to innovate - establish market opportunities: yes,Manufacturing,1,total,B1606.01,1833,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: yes,"Food, beverage, & tobacco",2,total,B1606.01,459,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: yes,"Textile, clothing, footwear, & leather",2,total,B1606.01,105,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: yes,Wood & paper product,2,total,B1606.01,162,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: yes,"Printing, publishing, & recorded media",2,total,B1606.01,54,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: yes,"Petroleum, coal, chemical, & associated product",2,total,B1606.01,225,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: yes,Non-metallic mineral product,2,total,B1606.01,69,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: yes,Metal product,2,total,B1606.01,249,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: yes,Transport and industrial machinery & equipment,2,total,B1606.01,246,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: yes,Other machinery & equipment,2,total,B1606.01,99,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: yes,Other manufacturing,2,total,B1606.01,162,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: yes,"Electricity, gas, water, & waste services",1,total,B1606.01,66,,Number of businesses,1 and 2 and 3 and 5 and 6
Reason to innovate - establish market opportunities: yes,Construction,1,total,B1606.01,1896,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: yes,Wholesale trade,1,total,B1606.01,1329,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: yes,Machinery & equipment wholesaling,2,total,B1606.01,453,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: yes,Other wholesale trade,2,total,B1606.01,873,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: yes,Retail trade,1,total,B1606.01,1416,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: yes,Accommodation & food services,1,total,B1606.01,1395,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: yes,"Transport, postal, & warehousing",1,total,B1606.01,264,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: yes,Information media & telecommunications,1,total,B1606.01,231,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: yes,Publishing,2,total,B1606.01,111,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: yes,Motion picture,2,total,B1606.01,60,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: yes,Telecommunications,2,total,B1606.01,57,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: yes,Financial & insurance services,1,total,B1606.01,213,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: yes,Finance,2,total,B1606.01,66,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: yes,Insurance,2,total,B1606.01,15,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: yes,Auxiliary,2,total,B1606.01,135,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: yes,"Rental, hiring, & real estate services",1,total,B1606.01,264,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: yes,"Professional, scientific, & technical services",1,total,B1606.01,1809,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: yes,Computer systems design,2,total,B1606.01,477,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: yes,Other professional scientific,2,total,B1606.01,1335,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: yes,Administrative & support services,1,total,B1606.01,639,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: yes,Education & training,1,total,B1606.01,252,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: yes,Health care & social assistance,1,total,B1606.01,498,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: yes,Arts & recreation services,1,total,B1606.01,177,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: yes,Other services,1,total,B1606.01,312,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: yes,total,0,total,B1606.01,13095,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: no,total,0,6–19 employees,B1606.02,9093,,Number of businesses,1 and 2 and 3 and 4 and 6
Reason to innovate - establish market opportunities: no,total,0,20–49 employees,B1606.02,2745,,Number of businesses,1 and 2 and 3 and 4 and 6
Reason to innovate - establish market opportunities: no,total,0,50–99 employees,B1606.02,717,,Number of businesses,1 and 2 and 3 and 4 and 6
Reason to innovate - establish market opportunities: no,total,0,100+ employees,B1606.02,579,,Number of businesses,1 and 2 and 3 and 4 and 6
Reason to innovate - establish market opportunities: no,"Agriculture, forestry, & fishing",1,total,B1606.02,1200,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: no,Agriculture,2,total,B1606.02,783,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: no,Commercial fishing,2,total,B1606.02,12,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: no,Forestry & logging,2,total,B1606.02,72,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: no,"Agriculture, forestry, & fishing support services",2,total,B1606.02,336,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: no,Mining,1,total,B1606.02,33,,Number of businesses,1 and 2 and 3 and 5 and 6
Reason to innovate - establish market opportunities: no,Manufacturing,1,total,B1606.02,1443,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: no,"Food, beverage, & tobacco",2,total,B1606.02,267,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: no,"Textile, clothing, footwear, & leather",2,total,B1606.02,42,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: no,Wood & paper product,2,total,B1606.02,159,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: no,"Printing, publishing, & recorded media",2,total,B1606.02,60,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: no,"Petroleum, coal, chemical, & associated product",2,total,B1606.02,84,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: no,Non-metallic mineral product,2,total,B1606.02,69,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: no,Metal product,2,total,B1606.02,291,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: no,Transport and industrial machinery & equipment,2,total,B1606.02,336,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: no,Other machinery & equipment,2,total,B1606.02,60,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: no,Other manufacturing,2,total,B1606.02,72,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: no,"Electricity, gas, water, & waste services",1,total,B1606.02,60,,Number of businesses,1 and 2 and 3 and 5 and 6
Reason to innovate - establish market opportunities: no,Construction,1,total,B1606.02,2031,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: no,Wholesale trade,1,total,B1606.02,705,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: no,Machinery & equipment wholesaling,2,total,B1606.02,186,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: no,Other wholesale trade,2,total,B1606.02,519,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: no,Retail trade,1,total,B1606.02,1110,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: no,Accommodation & food services,1,total,B1606.02,1173,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: no,"Transport, postal, & warehousing",1,total,B1606.02,495,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: no,Information media & telecommunications,1,total,B1606.02,84,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: no,Publishing,2,total,B1606.02,18,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: no,Motion picture,2,total,B1606.02,36,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: no,Telecommunications,2,total,B1606.02,30,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: no,Financial & insurance services,1,total,B1606.02,237,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: no,Finance,2,total,B1606.02,63,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: no,Insurance,2,total,B1606.02,12,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: no,Auxiliary,2,total,B1606.02,162,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: no,"Rental, hiring, & real estate services",1,total,B1606.02,312,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: no,"Professional, scientific, & technical services",1,total,B1606.02,1500,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: no,Computer systems design,2,total,B1606.02,216,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: no,Other professional scientific,2,total,B1606.02,1287,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: no,Administrative & support services,1,total,B1606.02,567,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: no,Education & training,1,total,B1606.02,441,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: no,Health care & social assistance,1,total,B1606.02,1191,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: no,Arts & recreation services,1,total,B1606.02,174,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: no,Other services,1,total,B1606.02,366,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: no,total,0,total,B1606.02,13134,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: don't know,total,0,6–19 employees,B1606.03,1221,,Number of businesses,1 and 2 and 3 and 4 and 6
Reason to innovate - establish market opportunities: don't know,total,0,20–49 employees,B1606.03,390,,Number of businesses,1 and 2 and 3 and 4 and 6
Reason to innovate - establish market opportunities: don't know,total,0,50–99 employees,B1606.03,111,,Number of businesses,1 and 2 and 3 and 4 and 6
Reason to innovate - establish market opportunities: don't know,total,0,100+ employees,B1606.03,108,,Number of businesses,1 and 2 and 3 and 4 and 6
Reason to innovate - establish market opportunities: don't know,"Agriculture, forestry, & fishing",1,total,B1606.03,66,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: don't know,Agriculture,2,total,B1606.03,48,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: don't know,Commercial fishing,2,total,B1606.03,3,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: don't know,Forestry & logging,2,total,B1606.03,9,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: don't know,"Agriculture, forestry, & fishing support services",2,total,B1606.03,3,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: don't know,Mining,1,total,B1606.03,0,,Number of businesses,1 and 2 and 3 and 5 and 6
Reason to innovate - establish market opportunities: don't know,Manufacturing,1,total,B1606.03,180,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: don't know,"Food, beverage, & tobacco",2,total,B1606.03,54,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: don't know,"Textile, clothing, footwear, & leather",2,total,B1606.03,15,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: don't know,Wood & paper product,2,total,B1606.03,12,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: don't know,"Printing, publishing, & recorded media",2,total,B1606.03,0,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: don't know,"Petroleum, coal, chemical, & associated product",2,total,B1606.03,18,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: don't know,Non-metallic mineral product,2,total,B1606.03,6,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: don't know,Metal product,2,total,B1606.03,33,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: don't know,Transport and industrial machinery & equipment,2,total,B1606.03,18,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: don't know,Other machinery & equipment,2,total,B1606.03,12,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: don't know,Other manufacturing,2,total,B1606.03,12,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: don't know,"Electricity, gas, water, & waste services",1,total,B1606.03,9,,Number of businesses,1 and 2 and 3 and 5 and 6
Reason to innovate - establish market opportunities: don't know,Construction,1,total,B1606.03,261,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: don't know,Wholesale trade,1,total,B1606.03,90,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: don't know,Machinery & equipment wholesaling,2,total,B1606.03,15,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: don't know,Other wholesale trade,2,total,B1606.03,75,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: don't know,Retail trade,1,total,B1606.03,207,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: don't know,Accommodation & food services,1,total,B1606.03,555,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: don't know,"Transport, postal, & warehousing",1,total,B1606.03,39,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: don't know,Information media & telecommunications,1,total,B1606.03,12,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: don't know,Publishing,2,total,B1606.03,6,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: don't know,Motion picture,2,total,B1606.03,3,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: don't know,Telecommunications,2,total,B1606.03,0,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: don't know,Financial & insurance services,1,total,B1606.03,12,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: don't know,Finance,2,total,B1606.03,6,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: don't know,Insurance,2,total,B1606.03,3,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: don't know,Auxiliary,2,total,B1606.03,3,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: don't know,"Rental, hiring, & real estate services",1,total,B1606.03,75,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: don't know,"Professional, scientific, & technical services",1,total,B1606.03,114,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: don't know,Computer systems design,2,total,B1606.03,36,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: don't know,Other professional scientific,2,total,B1606.03,81,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: don't know,Administrative & support services,1,total,B1606.03,36,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: don't know,Education & training,1,total,B1606.03,42,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: don't know,Health care & social assistance,1,total,B1606.03,69,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: don't know,Arts & recreation services,1,total,B1606.03,6,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: don't know,Other services,1,total,B1606.03,54,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - establish market opportunities: don't know,total,0,total,B1606.03,1830,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - replace goods or services being phased out: yes,total,0,6–19 employees,B1607.01,4047,,Number of businesses,1 and 2 and 3 and 4 and 6
Reason to innovate - replace goods or services being phased out: yes,total,0,20–49 employees,B1607.01,1305,,Number of businesses,1 and 2 and 3 and 4 and 6
Reason to innovate - replace goods or services being phased out: yes,total,0,50–99 employees,B1607.01,402,,Number of businesses,1 and 2 and 3 and 4 and 6
Reason to innovate - replace goods or services being phased out: yes,total,0,100+ employees,B1607.01,417,,Number of businesses,1 and 2 and 3 and 4 and 6
Reason to innovate - replace goods or services being phased out: yes,"Agriculture, forestry, & fishing",1,total,B1607.01,360,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - replace goods or services being phased out: yes,Agriculture,2,total,B1607.01,258,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - replace goods or services being phased out: yes,Commercial fishing,2,total,B1607.01,6,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - replace goods or services being phased out: yes,Forestry & logging,2,total,B1607.01,21,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - replace goods or services being phased out: yes,"Agriculture, forestry, & fishing support services",2,total,B1607.01,78,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - replace goods or services being phased out: yes,Mining,1,total,B1607.01,12,,Number of businesses,1 and 2 and 3 and 5 and 6
Reason to innovate - replace goods or services being phased out: yes,Manufacturing,1,total,B1607.01,801,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - replace goods or services being phased out: yes,"Food, beverage, & tobacco",2,total,B1607.01,153,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - replace goods or services being phased out: yes,"Textile, clothing, footwear, & leather",2,total,B1607.01,51,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - replace goods or services being phased out: yes,Wood & paper product,2,total,B1607.01,51,,Number of businesses,1 and 2 and 3 and 6
Reason to innovate - replace goods or services being phased out: yes,"Printing, publishing, & recorded media",2,total,B1607.01,27,,Number of businesses,1 and 2 and 3 and 6
